#,Team,M Played,Wins,Drawns,Loses,G For,G Against,G Diff,Points
1,Arsenal,1,1,0,0,2,0,2,3
2,Crystal Palace,1,0,0,1,0,2,-2,0
3,Fulham,0,0,0,0,0,0,0,0
4,Bournemouth,0,0,0,0,0,0,0,0
5,Leeds,0,0,0,0,0,0,0,0
6,Newcastle,0,0,0,0,0,0,0,0
7,Tottenham,0,0,0,0,0,0,0,0
8,Everton,0,0,0,0,0,0,0,0
9,Leicester,0,0,0,0,0,0,0,0
10,Man United,0,0,0,0,0,0,0,0
11,West Ham,0,0,0,0,0,0,0,0
12,Aston Villa,0,0,0,0,0,0,0,0
13,Brighton,0,0,0,0,0,0,0,0
14,Man City,0,0,0,0,0,0,0,0
15,Southampton,0,0,0,0,0,0,0,0
16,Wolves,0,0,0,0,0,0,0,0
17,Brentford,0,0,0,0,0,0,0,0
18,Nottingham,0,0,0,0,0,0,0,0
19,Chelsea,0,0,0,0,0,0,0,0
20,Liverpool,0,0,0,0,0,0,0,0
